,unique_id,ds,AutoARIMA
86,T.TO,2025-12-07 23:00:00-05:00,23.7663165650262
87,T.TO,2025-12-08 23:00:00-05:00,23.272748144616042
88,T.TO,2025-12-09 23:00:00-05:00,23.345870169152175
89,T.TO,2025-12-10 23:00:00-05:00,23.28188815926448
90,T.TO,2025-12-11 23:00:00-05:00,23.29102817391292
91,T.TO,2025-12-12 23:00:00-05:00,23.309312017907057
92,T.TO,2025-12-13 23:00:00-05:00,23.007685812462725
93,T.TO,2025-12-14 23:00:00-05:00,22.77918353890315
94,T.TO,2025-12-15 23:00:00-05:00,22.751763494957846
95,T.TO,2025-12-16 23:00:00-05:00,22.724343451012526
96,T.TO,2025-12-17 23:00:00-05:00,22.669501455773275
97,T.TO,2025-12-18 23:00:00-05:00,22.486697348107256
98,T.TO,2025-12-19 23:00:00-05:00,22.450139196862143
99,T.TO,2025-12-20 23:00:00-05:00,22.413579138268407
